"Country code","Country name","Series code","Series name","SCALE","Decimals","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"ERI","Eritrea","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.1192319999999998","..","..","..","..","..","..","..","..","..","3.1192319999999998","..","..","..","..","..","..","..","..","..","..",".."
"ESP","Spain","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.256672","..","..","..","..","..","..","..","..","..","1.256672","..","..","..","..","..","..","..","..","..","..",".."
"EST","Estonia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.3549280000000001","..","..","..","..","..","..","..","..","..","3.3549280000000001","..","..","..","..","..","..","..","..","..","..",".."
"ETH","Ethiopia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.67252730000000005","..","..","..","..","..","..","..","..","..","0.67252730000000005","..","..","..","..","..","..","..","..","..","..",".."
"FIN","Finland","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.108274","..","..","..","..","..","..","..","..","..","1.108274","..","..","..","..","..","..","..","..","..","..",".."
"FJI","Fiji","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"11.359859999999999","..","..","..","..","..","..","..","..","..","11.359859999999999","..","..","..","..","..","..","..","..","..","..",".."
"FRA","France","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.0679129999999999","..","..","..","..","..","..","..","..","..","2.0679129999999999","..","..","..","..","..","..","..","..","..","..",".."
"FRO","Faeroe Islands","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"14.548970000000001","..","..","..","..","..","..","..","..","..","14.548970000000001","..","..","..","..","..","..","..","..","..","..",".."
"FSM","Micronesia, Fed. Sts.","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"33.37462","..","..","..","..","..","..","..","..","..","33.37462","..","..","..","..","..","..","..","..","..","..",".."
"GAB","Gabon","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.5366168","..","..","..","..","..","..","..","..","..","0.5366168","..","..","..","..","..","..","..","..","..","..",".."
"GBR","United Kingdom","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"7.6125980000000002","..","..","..","..","..","..","..","..","..","7.6125980000000002","..","..","..","..","..","..","..","..","..","..",".."
"GEO","Georgia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.427602","..","..","..","..","..","..","..","..","..","1.427602","..","..","..","..","..","..","..","..","..","..",".."
"GHA","Ghana","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.76650689999999999","..","..","..","..","..","..","..","..","..","0.76650689999999999","..","..","..","..","..","..","..","..","..","..",".."
"GIB","Gibraltar","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"100.0001","..","..","..","..","..","..","..","..","..","100.0001","..","..","..","..","..","..","..","..","..","..",".."
"GIN","Guinea","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.050092","..","..","..","..","..","..","..","..","..","1.050092","..","..","..","..","..","..","..","..","..","..",".."
"GMB","Gambia, The","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"16.580880000000001","..","..","..","..","..","..","..","..","..","16.580880000000001","..","..","..","..","..","..","..","..","..","..",".."
"GNB","Guinea-Bissau","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"9.4975620000000003","..","..","..","..","..","..","..","..","..","9.4975620000000003","..","..","..","..","..","..","..","..","..","..",".."
"GNQ","Equatorial Guinea","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.92181369999999996","..","..","..","..","..","..","..","..","..","0.92181369999999996","..","..","..","..","..","..","..","..","..","..",".."
"GRC","Greece","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"6.3342590000000003","..","..","..","..","..","..","..","..","..","6.3342590000000003","..","..","..","..","..","..","..","..","..","..",".."
"GRD","Grenada","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"21.746770000000001","..","..","..","..","..","..","..","..","..","21.746770000000001","..","..","..","..","..","..","..","..","..","..",".."
"GRL","Greenland","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"16.265789999999999","..","..","..","..","..","..","..","..","..","16.265789999999999","..","..","..","..","..","..","..","..","..","..",".."
"GTM","Guatemala","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.56096140000000005","..","..","..","..","..","..","..","..","..","0.56096140000000005","..","..","..","..","..","..","..","..","..","..",".."
"GUM","Guam","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"20.384889999999999","..","..","..","..","..","..","..","..","..","20.384889999999999","..","..","..","..","..","..","..","..","..","..",".."
"GUY","Guyana","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.7156920000000002","..","..","..","..","..","..","..","..","..","2.7156920000000002","..","..","..","..","..","..","..","..","..","..",".."
"HIC","High income","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.17596118230888","..","..","..","..","..","..","..","..","..","2.2046094857431902","..","..","..","..","..","..","..","..","..","..",".."
